No,employee_id,Role,Mathematics.Linear Algebra,Mathematics.Differential Equations,Mathematics.Optimization Technique,Mathematics.Calculus,Mathematics.Combinatorics & Graph,Statistics & Probabilities.Statistics,Statistics & Probabilities.Probability & Sampling,Statistics & Probabilities.Bayessian Method,Statistics & Probabilities.Hypothesis Testing,Statistics & Probabilities.A/B Testing,Statistics & Probabilities.CUPED,Data Structures & Algorithms.Complexity Analysis,Data Structures & Algorithms.Programming,Data Structures & Algorithms.Data Structures,Data Structures & Algorithms.Algorithms,Data Structures & Algorithms.Advanced Algorithms,Data Structures & Algorithms.SQL,Data Structures & Algorithms.Shell / Bash Scripting,"Econometrics, Data Analysis, and Data Visualization.Data Preprocessing & EDA","Econometrics, Data Analysis, and Data Visualization.Data Viz & Storytelling","Econometrics, Data Analysis, and Data Visualization.Econometrics","Econometrics, Data Analysis, and Data Visualization.Regression Analysis","Econometrics, Data Analysis, and Data Visualization.Time Series Analysis","Econometrics, Data Analysis, and Data Visualization.Correlation Analysis","Econometrics, Data Analysis, and Data Visualization.Causal Analysis","Econometrics, Data Analysis, and Data Visualization.Dimensional Reduction (PCA)",Machine Learning.Supervised ML,Machine Learning.Unsupervised ML,Machine Learning.Reinforcemetn Learning,Machine Learning.Feature Engineering,Machine Learning.Ensemble Method,Deep Learning.Neural Network & DL,Deep Learning.NLP,Deep Learning.GAN,Deep Learning.Generative AI,Deep Learning.Computer VIsion,Deep Learning.Audio & Speech Processing,Deep Learning.Transfer Learning,Deep Learning.Sequence Modelling,Deep Learning.Accelerated & Parallel Computing,Deep Learning.Edge Computing,Data & Cloud Engineering.Relational DB,Data & Cloud Engineering.Non Relational DB,Data & Cloud Engineering.Devops & CI/CD,Data & Cloud Engineering.Data Pipeline,Data & Cloud Engineering.Data Collection,Data & Cloud Engineering.Data Wrangling,Data & Cloud Engineering.Batch Processing,Data & Cloud Engineering.Stream Processing,Data & Cloud Engineering.Big Data Tech,Data & Cloud Engineering.Data Warehousing,Data & Cloud Engineering.ORM & REST API,Data & Cloud Engineering.Microservices & Containerization,Data & Cloud Engineering.Cloud Native,Data & Cloud Engineering.Cloud & Serverless Architecture,Data & Cloud Engineering.Data Security & Privacy,Data & Cloud Engineering.Distributed Systems,"Data & Cloud Engineering.Monitoring, Logging, Alerting",MLOPS.ML Lifecycle,MLOPS.ML Model Pipeline,MLOPS.Model Versioning,MLOPS.Automated Testing & Validation,MLOPS.Scalable Model Training,"MLOPS.Model Deployment, Monitoring, Logging",MLOPS.Ethical AI & Bias Mitigation
1,Talent 1,Data Scientist,1,1,2,1,2,3,3,2,2,2,1,2,2,2,2,1,3,2,3,4,3,2,2,2,2,2,3,2,1,2,1,1,2,1,2,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2
2,Talent 2,Data Scientist,4,4,4,4,3,5,4,3,3,3,1,4,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,3,2,3,2,2,2,2,4,3,3,2,2,2,1,1,1,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1
3,Talent 3,Data Analyst,3,2,2,3,2,3,3,2,2,3,2,2,3,3,3,3,4,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2
4,Talent 4,Data Scientist,3,2,3,2,3,4,3,2,4,2,2,2,4,4,3,3,4,3,4,4,3,4,3,3,3,3,4,4,3,4,3,3,4,2,3,2,2,3,2,2,2,4,2,2,3,4,3,1,1,1,1,1,1,2,2,3,1,1,2,2,2,2,2,2,2
5,Talent 5,Data Analyst,2,1,3,1,1,1,2,1,1,2,1,3,5,5,5,3,5,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,3,2,5,2,1,2,1
6,Talent 6,Data Scientist,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,2,4,4,4,3,2,4,,3,2,3,4,3,2,3,2,3,3,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,2,2,3,4,4,4,4,2,2,3,3,3,2,3,2,3,2
7,Talent 7,Data Scientist,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,4,4,5,5,3,4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3
8,Talent 8,Data Scientist,5,5,5,5,4,5,5,4,4,4,4,3,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,4,3,5,5,5,5,5,4,4,5,5,5,5,3,4,4,4,5,4,5,4,5,3
9,Talent 9,Data Engineer,2,1,2,1,1,2,1,1,1,1,1,4,4,4,4,3,4,3,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,2,2,3,2,2,1
10,Talent 10,Data Scientist,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,3,3,4,4,3,5,5,4,4,5,5,5,3,4,4,4,3,5,4,3,3,3,4,4,5,5,3,3,3
